Name,Account,Political group,Nationality
ADAKTUSSON Lars,@Ladaktusson,EPP,Sweden
ADINOLFI Isabella,@Isa_Adinolfi,EFDD,Italy
AFFRONTE Marco,@marcoaffronte,EFDD,Italy
AGEA Laura,@AgeaLaura,EFDD,Italy
AGNEW John Stuart,,EFDD,UK
AGUILERA GARCÃ Clara Eugenia,@ClaraAguilera7,S&D,Spain
AIUTO Daniela,@DanielaAiuto,EFDD,Italy
AKER Tim,@Tim_Aker,EFDD,UK
ALBIOL GUZMÁN Marina,@MarinaAlbiol,GUE/NGL,Spain
ALBRECHT Jan Philipp,@JanAlbrecht,Greens,Germany
ALI Nedzhmi,,ALDE,Bulgaria
ALIOT Louis,@louis_aliot,ENF,France
ALLIOT MARIE Michèle,@MAlliotMarie,EPP,France
ANDERSON Lucy,@LucyAndersonMEP,S&D,UK
ANDERSON Martina,@M_AndersonSF,GUE/NGL,UK
ANDERSSON Max,@MaxAndersson,Greens,Sweden
ANDRIEU Eric,@EricAndrieuEU,S&D,France
ANDRIKIENE Laima Liucjia,@Andrikiene,EPP,Lithuania
ANDROULAKIS Nikos,@androulakisnick,S&D,Greece
ANNEMANS Gerolf,@gannemans,ENF,Belgium
ARENA Maria,@Mariearenaps,S&D,Belgium
ARIMONT Pascal,@PASCALARIMONT,EPP,Belgium
ARNAUTU Marie Christine,@MCArnautu,ENF,France
ARNOTT Jonathan,@JonathanArnott,EFDD,UK
ARTHUIS Jean,@JeanArthuis,ALDE,France
ASHWORTH Richard,@RichardAshMEP,ECR,UK
ASSIS Francisco,,S&D,Portugal
ATKINSON Janice,@Janice4Brexit,ENF,UK
AUKEN Margrete,@MargreteAuken,Greens,Denmark
AUŠTREVIČIUS Petras,@petras_petras,ALDE,Lithuania
AYALA SENDER Inés,@IAyalaSender,S&D,Spain
AYUSO Pilar,@ayuso_pilar,EPP,Spain
BAALEN Johannes Cornelis van,@hans_van_baalen,ALDE,Netherlands
BACH Georges,,EPP,Luxembourg
BALAS Guillaume,@BalasGuillaume,S&D,France
BALČYTIS Zigmantas,@balcytis,S&D,Lithuania
BALCZÓ Zoltán,,NI (Jobbik Magyarorszagert Mozgalom),Hungary
BALZ Burkhard,@buba0769,EPP,Germany
BAREKOV Nikolay,@NBarekov,ECR,Bulgaria
BASHIR Amjad,@AmjadBashirMEP,ECR,UK
BATTEN Gerard,@GerardBattenMEP,EFDD,UK
BAY Nicolas,@nicolasbayfn,ENF,France
BAYET Hugues,@HuguesBayet,S&D,Belgium
BEARDER Catherine,@catherinemep,ALDE,UK
BECERRA BASTERRECHEA Beatriz,@beatrizbecerrab,ALDE,Spain
BECKER Heinz K.,,EPP,Austria
BEGHIN Tiziana,@beghin_t,EFDD,Italy
BELDER Ba,@BasBelderMEP,ECR,Netherlands
BELET Ivo,@IvoBelet,EPP,Belgium
BENDTSEN Bendt,@BendtEU,EPP,Denmark
BENIFEI Brando Maria,@brandobenifei,S&D,Italy
BENITO Xabier,@xabierbenito,GUE/NGL,Spain
BERÈS Pervenche,@PervencheBeres,S&D,France
BERGERON Joëlle,@Jbergeronmep,EFDD,France
BETTINI Goffredo Maria,@GoffredoBettini,S&D,Italy
BILBAO BARANDICA Izaskun,@IzaskunBilbaoB,ALDE,Spain
BILDE Dominique,@DominiqueBilde,ENF,France
BIZZOTTO Mara,,ENF,Italy
BJÖRK Malin,@MalinBjork_EU,GUE/NGL,Sweden
BLANCO LÓPEZ José,@pepeblancoEP,S&D,Spain
